Essay	1a	1b	1c	1d	2a	2b	3a	FinalGrade
5	2	5	5	0	0	0	5	1.5
20	5	5	5	0	0	0	5	2.0
9	2	2	4	0	0	0	5	1.5
11	5	5	5	0	0	0	5	2.0
6	4	2	4	0	0	0	5	1.5
3	5	3	5	0	0	0	5	2.0
18	4	2	5	0	0	0	5	1.5
14	1	3	3	0	0	0	2	1.0
17	3	2	1	0	0	0	2	1.0
2	2	3	5	0	0	0	5	1.5
16	3	1	5	0	0	0	5	1.5
1	2	4	1	0	0	0	5	1.0
10	4	3	5	0	0	0	5	1.5
12	5	4	5	0	0	0	5	2.0
4	2	2	3	0	0	0	3	1.0
13	4	5	5	0	0	0	5	2.0
8	5	2	2	0	0	0	5	1.5
15	5	2	5	0	0	0	4	1.5
19	2	3	3	0	0	0	3	1.0
7	1	5	3	0	0	0	5	1.5
